paper_id,paper_title,paper_category,spot_error_category,spot_error_severity,spot_annotation,finding_idx,gd_finding_location,gd_finding,arbiter_justification,source,survived_steelman,human_verdict,notes
10.1016_j.jpcs.2024.112058,Facile synthesis of SnSe‚ÄìMnTe nanocomposite as a promising electrode for supercapacitor applications,Materials Science,Data Inconsistency (figure-text),errata,"The error is that the EDX spectrum in Figure 2d was incorrectly labeled, showing inconsistencies such as a flat background and missing expected iron peaks, which led to incorrect assignment of elements to peaks.",0,,Internal inconsistency between reported energy density (61.05 Wh/kg) and the value derivable from stated capacitance (1502 F/g) and voltage window (0.65 V). Both the standard formula and the paper's own formula yield ~88.2 Wh/kg—a ~31% discrepancy that cannot be explained by rounding.,"Energy density is the headline metric in the abstract and conclusions. The discrepancy is mathematically undeniable from the paper's own numbers and cannot be attributed to a typo or rounding. It demonstrates either that the capacitance value used for the energy calculation differs from the reported 1502 F/g, or that an incorrect formula was applied. Either way, the central performance claim as published is arithmetically unsupported. This was identified by Review A, strongly endorsed by Review B in steelman, and neither reviewer could explain it away.",prover_a,True,,
10.1016_j.jpcs.2024.112058,Facile synthesis of SnSe‚ÄìMnTe nanocomposite as a promising electrode for supercapacitor applications,Materials Science,Data Inconsistency (figure-text),errata,"The error is that the EDX spectrum in Figure 2d was incorrectly labeled, showing inconsistencies such as a flat background and missing expected iron peaks, which led to incorrect assignment of elements to peaks.",1,,"Systematic mismatch between gravimetric and areal capacitance values. At 5 mg/cm² loading, 1502 F/g should correspond to ~7.51 F/cm², but the paper reports 4.39 F/cm²—a ~42% discrepancy. Similar mismatches exist for the other electrode materials.","This is an independent arithmetic inconsistency in the same core metric, reinforcing that the normalization process is fundamentally flawed. Combined with the energy density error, it establishes a pattern of systematic calculation errors affecting the primary reported values. Both reviewers identified this, and Review B upgraded it to retraction-worthy in steelman. The discrepancy is too large (~42%) to be experimental error and too systematic to be a typo.",both,True,,
10.1038_s41598-024-56334-5,The impact understanding of exosome therapy in COVID-19 and preparations for the future approaches in dealing with infectious diseases and inflammation,Multidisciplinary,Data Inconsistency (figure-text),errata,"The error is that the figure shows a micrograph from a TESCAN MIRA 3 device, whereas the text in the Materials and Methods section incorrectly describes the instrument used as a Hitachi S-4160 and Zeiss EM10C, resulting in a discrepancy between the described methods and the actual data presented.",0,,"Critical lack of vehicle/process control and confounded treatment-time contrast. The experimental design compares cytokine levels before and after exosome addition, but no matched vehicle control (PBS, buffer, or carrier alone) was added to parallel cultures at the same time point. The 'before' measurement is at 24h post-virus and the 'after' is at 96h total, meaning natural cytokine decay, degradation, cell exhaustion, dilution from medium addition, or any non-exosome component could explain the observed reductions.","Both reviewers identified this as a fundamental design flaw. Reviewer A upgraded this toward RETRACTION-WORTHY after steelmanning B. Reviewer B defended it as RETRACTION-WORTHY throughout. Without a vehicle control, the primary causal claim that exosomes reduce cytokines is not identifiable from the data—this is not a matter of interpretation or overclaiming but a structural inability of the design to support its central conclusion. The rubric states RETRACTION-WORTHY applies when 'the paper's central conclusions CANNOT be supported by the data as presented,' which fits here.",both,True,,
10.1038_s41598-024-56334-5,The impact understanding of exosome therapy in COVID-19 and preparations for the future approaches in dealing with infectious diseases and inflammation,Multidisciplinary,Data Inconsistency (figure-text),errata,"The error is that the figure shows a micrograph from a TESCAN MIRA 3 device, whereas the text in the Materials and Methods section incorrectly describes the instrument used as a Hitachi S-4160 and Zeiss EM10C, resulting in a discrepancy between the described methods and the actual data presented.",1,,"Internally contradictory statistical reporting that prevents verification of primary analyses. Table 4 is labeled as 'paired t-test' but reports medians, IQRs, Z-statistics, and r-values characteristic of Wilcoxon signed-rank tests. Table 5 (Wilcoxon) uses the same data structure. Cohen's d is referenced in table headers but not reported. These contradictions mean readers cannot determine what statistical test was actually performed on the primary endpoints.","Both reviewers flagged this. Reviewer A upgraded it toward RETRACTION-WORTHY after steelman exchange, acknowledging that contradictory test labels and output formats could mean the primary analyses are unverifiable. Reviewer B rated it RETRACTION-WORTHY from the start. If the wrong test was applied or the wrong outputs were reported, all significance claims could be invalid. This is not a minor formatting issue—it strikes at the inferential backbone of the paper.",both,True,,
10.1038_s41598-024-73921-8,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,Statistical reporting,errata,"The error is that negative values are reported for pharmacokinetic parameters such as AUC, elimination rates, and LOQ in Table 1, which are nonsensical since these parameters should always be positive based on their definitions in pharmacokinetics and analytical chemistry.",0,,"Analytical validation table reports impossible values: negative LOD and LOQ (e.g., kidney LOD = -587.51 µg/kg, LOQ = -1780.34 µg/kg) and R² values exceeding 1.0 (e.g., muscle R² = 6.96), while other matrices show near-zero R² (skin R² = 0.002) yet are still used for quantitation.","LOD/LOQ are defined as positive multiples of SD/slope and cannot be negative under any valid calibration. R² is bounded [0,1] by definition. These are mathematical impossibilities that indicate fundamental errors in the calibration/validation procedure. Since all tissue concentration data and all derived PK parameters depend on the validity of the LC-MS/MS assay, these impossible validation metrics invalidate the entire quantitative foundation of the paper.",both,True,,
10.1038_s41598-024-73921-8,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,Statistical reporting,errata,"The error is that negative values are reported for pharmacokinetic parameters such as AUC, elimination rates, and LOQ in Table 1, which are nonsensical since these parameters should always be positive based on their definitions in pharmacokinetics and analytical chemistry.",1,,"Elimination half-life values are internally contradictory and biologically implausible. Gill tissue is reported with three mutually exclusive t½ values (0.94 h, 19.39 h, 198.48 h) in different parts of the manuscript. Plasma t½ is reported as 3368.24 h (~140 days), which is biologically implausible and contradicts observed concentration decline within the 128 h observation window.","Half-life is a core pharmacokinetic parameter. Three different values for the same tissue in the same study indicate either calculation errors, transcription errors, or data fabrication. A plasma t½ of 140 days estimated from a 128 h sampling window is statistically unjustifiable and biologically nonsensical at 20°C. These contradictions mean the manuscript's central PK conclusions (elimination kinetics, tissue retention, withdrawal recommendations) cannot be trusted.",both,True,,
10.1038_s41598-024-73921-8,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,Statistical reporting,errata,"The error is that negative values are reported for pharmacokinetic parameters such as AUC, elimination rates, and LOQ in Table 1, which are nonsensical since these parameters should always be positive based on their definitions in pharmacokinetics and analytical chemistry.",2,,"The trapezoidal AUC formula is stated as (Cᵢ + Cᵢ₊₁)·Δt rather than the correct 0.5·(Cᵢ + Cᵢ₊₁)·Δt, which would double all AUC values if actually applied.","AUC is the primary exposure metric and directly informs bioavailability estimates, tissue distribution comparisons, and withdrawal time calculations. If the stated formula was used, all AUC values are inflated by 2×, fundamentally changing PK interpretation. There is a small possibility this is only a typographical error in the equation while the calculation was done correctly, but given the other mathematical impossibilities in the paper, there is no basis to extend this benefit of the doubt.",prover_a,True,,
10.1038_s41598-024-73921-8,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,Statistical reporting,errata,"The error is that negative values are reported for pharmacokinetic parameters such as AUC, elimination rates, and LOQ in Table 1, which are nonsensical since these parameters should always be positive based on their definitions in pharmacokinetics and analytical chemistry.",3,,"Elimination rate constant and half-life values are internally inconsistent with the stated equations. For example, Ke = 0.01 h⁻¹ should yield t½ = ln(2)/0.01 = 69.3 h, not the 0.94 h reported.","This is a direct mathematical inconsistency between reported parameters and the equations used to derive them. It indicates either the equations were not actually applied or the parameters were incorrectly calculated/transcribed. Combined with the other contradictory half-life values, this confirms that the PK parameter estimates are unreliable.",prover_a,True,,
10.1038_s41598-024-73921-8,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,Statistical reporting,errata,"The error is that negative values are reported for pharmacokinetic parameters such as AUC, elimination rates, and LOQ in Table 1, which are nonsensical since these parameters should always be positive based on their definitions in pharmacokinetics and analytical chemistry.",4,,"Conflicting Tmax statements for the same tissue: gill peak concentration is reported at 3 h, 6 h, and 8 h in different passages of the manuscript.","Tmax is a basic descriptive statistic read directly from concentration-time data. Three different values for the same tissue in the same experiment indicate profound inconsistency in the core data reporting. This, combined with the contradictory half-lives for gill, indicates that the PK results section is unreliable at the most fundamental descriptive level.",prover_a,True,,
10.1038_s41598-025-85894-3,Photocatalytic removal of textile wastewater-originated methylene blue and malachite green dyes using spent black tea extract-coated silver nanoparticles,Multidisciplinary,Data inconsistency,errata,"The error in Fig. 4 is that the UV-Vis spectrum for the ""chemically synthesized Ag nanoparticles"" displays an artifact—a sharp, anomalous peak at ~260 nm—due to unfiltered junk data not being removed before plotting, and the horizontal axis label is also misspelled.",0,,Identification of methylene blue and malachite green in real textile wastewater relies solely on visual matching of UV-Vis peaks without chromatographic or standard-addition validation. Real textile effluent contains numerous chromophores with overlapping absorbance bands.,"The paper's central applied claim is that SBT-AgNPs remove specific named dyes (MB, MG) from textile wastewater. Without selective analytical confirmation (HPLC, LC-MS, spiking/recovery), assigning peaks at ~614 and ~665 nm to those specific dyes in a complex matrix is circular reasoning. If the dyes are not confirmed, the core conclusion collapses. Review A rated this RETRACTION-WORTHY; Review B effectively agreed during steelman. Review A partially softened this during steelman but only if the paper were reframed to 'nonselective decolorization'—which it is not. As written, the named-dye wastewater claim is central and unsupported.",both,True,,
