candidate_id,field,source,exclusion_reason,exclusion_category
R06,Genetics,Retraction Watch,"Full text not accessible; paywalled with no preprint",access
R07,Medicine,Retraction Watch,"Full text scrubbed by Elsevier after retraction; unrecoverable",access
R08,Engineering,Retraction Watch,"Error in unpublished simulation code (Class C); not text-detectable",detectability
R09,Biology,Retraction Watch,"Retraction for image manipulation; misconduct not methodology",misconduct
R12,Chemistry,Retraction Watch,"Retraction for data fabrication",misconduct
R13,Economics,Retraction Watch,"Reinhart-Rogoff spreadsheet error; never formally retracted by journal",not_retracted
R14,Neuroscience,Retraction Watch,"Error in hardware calibration (Class C); not text-detectable",detectability
R15,Psychology,Retraction Watch,"Retraction for p-hacking; borderline misconduct vs methodology",misconduct_borderline
R16,Medicine,Retraction Watch,"Retraction for undisclosed conflicts of interest; not methodology",not_methodology
R17,Public Health,Retraction Watch,"Data integrity concerns with repeating patterns suggesting fabrication",misconduct
R18,Ecology,Retraction Watch,"Retraction for plagiarism",misconduct
R20,Pharmacology,Retraction Watch,"Error in proprietary analysis pipeline (Class C); not text-detectable",detectability
R21,Sociology,Retraction Watch,"Full text not accessible; institutional repository removed",access
R22,Physics,Retraction Watch,"Retraction for authorship dispute; not methodology",not_methodology
R23,Medicine,Retraction Watch,"Retraction notice cites only 'data concerns' without specifics; ground truth insufficient",insufficient_ground_truth
