paper_id,condition,finding_idx,severity,gt_match,finding_text
C01,graduated_dissent,1,MAJOR-REVISION,False,"No systematic, reproducible evidence review methodology despite the paper presenting authoritative, evidence-based global recommendations."
C01,graduated_dissent,2,MAJOR-REVISION,False,"Informal, undocumented consensus-development process for generating global recommendations."
C01,graduated_dissent,3,MAJOR-REVISION,False,Apparent citation/reference mismatches and numbering inconsistencies throughout the manuscript.
C01,graduated_dissent,4,MAJOR-REVISION,False,"Global applicability claims exceed the evidence base, which is dominated by high-income, English-speaking countries."
C01,graduated_dissent,5,MAJOR-REVISION,False,Causal language used where the underlying evidence is predominantly observational or associative.
C01,graduated_dissent,6,MAJOR-REVISION,False,Recommendations presented as evidence-based best practice without distinguishing levels of evidence support (direct intervention evidence vs. expert opinion vs. theory).
C01,graduated_dissent,7,MAJOR-REVISION,False,Unclear article type classification (position statement vs. consensus statement vs. narrative review vs. guideline) creating confusion about appropriate methodological expectations.
C01,graduated_dissent,8,MINOR,False,"Potential conflict of interest (author working with WW International) not fully managed in the consensus process, with citation of commercial-program data."
C01,graduated_dissent,9,MINOR,False,No formal risk-of-bias or certainty-of-evidence assessment for the literature supporting key claims and recommendations.
C01,graduated_dissent,10,MINOR,False,"Ambiguity in cross-linguistic applicability of person-first language recommendation, acknowledged but not resolved."
C02,graduated_dissent,1,MAJOR-REVISION,False,"Repeated-measures structure likely modeled incorrectly in abundance GLMMs. Monthly observations on the same 17 permanent transects over ~5 years are modeled with only ranch and year as random effects,"
C02,graduated_dissent,2,MAJOR-REVISION,False,Mismatch between claimed negative-binomial GLMMs and stated use of lme4::glmer. Standard glmer() does not fit negative-binomial models; glmer.nb() or another package is required.
C02,graduated_dissent,3,MAJOR-REVISION,False,"Groundcover analysis uses Wilcoxon-Mann-Whitney tests comparing 2018 vs. 2022, ignoring repeated measures on the same transects and ranch-level clustering."
C02,graduated_dissent,4,MAJOR-REVISION,False,Causal attribution of vegetation change to spittlebug feeding without experimental controls or quasi-experimental design.
C02,graduated_dissent,5,MAJOR-REVISION,False,"Likelihood-ratio test reporting is internally inconsistent: df=1 reported for tests involving a 3-level elevation factor, and it is unclear which terms are being tested."
C02,graduated_dissent,6,MINOR,False,Claim of '20 new food-plant records' is overstated given that lifecycle completion was not confirmed and misassignment is acknowledged when spittle contacted multiple plants.
C02,graduated_dissent,7,MINOR,False,Percent cover components analyzed independently despite being compositional data summing to ~100%.
C02,graduated_dissent,8,MINOR,False,Inference of '2 generations per year' from bimodal field peaks without direct developmental or cohort-tracking evidence.
C02,graduated_dissent,9,MINOR,False,Wet/dry season classification based on historical rainfall averages rather than site- and year-specific data during the study period.
C02,graduated_dissent,10,MINOR,False,Non-random transect placement (influenced by habitat suitability) limits generalizability of abundance estimates.
C02,graduated_dissent,11,MINOR,False,Arbitrary binning of continuous elevation into Low/Mid/High categories.
C03,graduated_dissent,1,MAJOR-REVISION,False,Primary PD outcome based on self-reported clinician diagnosis with only 54/103 cases undergoing record review and 11/54 (20%) not confirmed among those reviewed. 58% of cases remain unverified. All ma
C03,graduated_dissent,2,MAJOR-REVISION,False,Two-stage outcome-enriched sampling design based on constipation and pRBD—which are also key predictors—with inverse probability weighting that may be insufficient to correct for second-stage particip
C03,graduated_dissent,3,MAJOR-REVISION,False,"Sensitivity, specificity, PPV, and NPV presented as population-applicable screening metrics despite enriched sampling, without calibration, transportability assessment, or external validation."
C03,graduated_dissent,4,MAJOR-REVISION,False,"Latent class analysis for prodromal PD subtypes performed on ~98 cases with 7 binary features, comparing 2-4 class models, with no internal validation, entropy reporting, or stability assessment. Resu"
C03,graduated_dissent,5,MAJOR-REVISION,False,Hyposmia measured by self-report in 2012 but by olfactory testing in later waves. Longitudinal progression analyses (including Sankey diagrams and mixed models showing feature accumulation) mix non-eq
C03,graduated_dissent,6,MAJOR-REVISION,False,Missing data handled via last-observation-carried-forward followed by complete-case analysis. Amount and pattern of missingness not reported. This approach can distort longitudinal trajectories and la
C03,graduated_dissent,7,MAJOR-REVISION,False,Suggestion that temporal increases in non-motor feature counts and MDS score 'could serve as surrogate outcomes in prevention trials' without any surrogate validation.
C03,graduated_dissent,8,MAJOR-REVISION,False,"MDS prodromal PD probability score evaluated at published thresholds (≥0.5, ≥0.8) in a selected cohort using self-administered marker versions, without any calibration assessment or recalibration."
C03,graduated_dissent,9,MAJOR-REVISION,False,Comparison to colorectal and prostate cancer screening tests in Figure 2 is misleading (cancer screening detects prevalent disease vs. predicting future incidence) and cited references appear unrelate
C03,graduated_dissent,10,MINOR,False,"Use of age-adjusted log-binomial regression for incident PD over variable follow-up rather than time-to-event models, with Kaplan-Meier curves shown only for the confirmed-case subset."
C03,graduated_dissent,11,MINOR,False,Claim that prospective design makes analyses 'less prone to selection bias' despite explicit two-stage enrichment and substantial nonresponse/exclusions.
C04,graduated_dissent,1,MAJOR-REVISION,False,"Exercise cohort selection bias: all participants lost ≥3 kg by inclusion criteria, yet the manuscript presents ROC-based prediction of 'weight loss' within this cohort, creating a potential logical im"
C04,graduated_dissent,2,MAJOR-REVISION,False,"Predictive analyses for weight change appear circular: no clear train/test split, cross-validation, or external validation; feature selection and model evaluation likely performed on the same dataset,"
C04,graduated_dissent,3,MAJOR-REVISION,False,"Causal language and mediation analysis from observational/cross-sectional data: the manuscript claims a 'causal link mediated by creatine' between gut microbiota and BMI without randomization, tempora"
C04,graduated_dissent,4,MAJOR-REVISION,False,"Cross-cohort 'confirmation' is methodologically weak: cohorts are vastly different in age (children vs. young adults vs. adults), disease severity, intervention type, follow-up duration, and metabolom"
C04,graduated_dissent,5,MAJOR-REVISION,False,"No multiple testing correction despite testing 209 metabolites, 1398 strains, and many correlations: results reported at nominal p<0.05 without FDR or similar adjustment."
C04,graduated_dissent,6,MAJOR-REVISION,False,"PLS-DA used to claim 'great separation' of groups without validation, permutation testing, or reporting of model performance metrics, creating high overfitting risk in small-sample omics."
C04,graduated_dissent,7,MAJOR-REVISION,False,"Regression models relating metabolites to BMI in weight-loss cohorts do not account for within-subject correlation from paired baseline/follow-up data: no random effects, repeated-measures structure, "
C04,graduated_dissent,8,MAJOR-REVISION,False,Statistical testing descriptions in Table 1 are internally inconsistent: Wilcoxon rank-sum (unpaired) assigned to baseline-vs-follow-up comparisons and Wilcoxon signed-rank (paired) assigned to betwee
C04,graduated_dissent,9,MAJOR-REVISION,False,The conclusion that 'creatine was a potential treatment for obesity' is unsupported by the observational biomarker data and may contradict the finding that higher creatine associates with higher BMI/o
C04,graduated_dissent,10,MAJOR-REVISION,False,"Post hoc responder grouping in the sedentary cohort (classifying by future weight change) without adequate confounder control for baseline BMI, sex, puberty/maturation, diet adherence, or physical act"
C04,graduated_dissent,11,MAJOR-REVISION,False,Age-related maturation in the sedentary cohort (late adolescence to early adulthood transition) not adequately accounted for when interpreting body composition and metabolic changes as effects of sede
C04,graduated_dissent,12,MAJOR-REVISION,False,The claim that sedentary behavior during COVID caused the observed metabolic/microbiome changes is not supported: no objective measurement of physical activity/sedentary time and no non-sedentary cont
C04,graduated_dissent,13,MAJOR-REVISION,False,"ROC/AUC interpretation is confused: the text alternates between predicting obesity, predicting weight loss, and classifying weight reduction without clearly defining the binary outcome for each analys"
C04,graduated_dissent,14,MAJOR-REVISION,False,"Missing critical details on metabolomics quality control: no information on batch effects, normalization, drift correction, or missing data handling, especially across timepoints and cohorts."
C04,graduated_dissent,15,MAJOR-REVISION,False,"Pearson correlation used for microbiota-metabolite relationships despite compositional microbiome data, non-normality, and small sample size; no compositionality-aware method described."
C04,graduated_dissent,16,MAJOR-REVISION,False,"Strain-level taxonomic assignment claims are insufficiently documented for confidence in named strain findings, given short-read data and limited methodological detail on reference databases."
C04,graduated_dissent,17,MINOR,False,Different metabolomics platforms used across cohorts (Waters UPLC-MS/MS vs. SCIEX 6500 QTRAP with different chromatography) without harmonization discussion.
C04,graduated_dissent,18,MINOR,False,"Small sample sizes relative to omics dimensionality (n=49, 38, 20) increase instability of multivariable results."
C04,graduated_dissent,19,MINOR,False,Aggressive 80% prevalence filter for microbiome strains may remove biologically relevant low-prevalence taxa.
C04,graduated_dissent,20,MINOR,False,"Lack of clarity on dietary control and adherence in the sedentary cohort, despite diet being a major confounder for both microbiota and metabolome."
C04,graduated_dissent,21,MINOR,False,"Stepwise regression for logistic model selection is unstable in small samples, with no calibration or decision-analytic assessment."
C05,graduated_dissent,1,MAJOR-REVISION,False,"The diagnosis of 'pseudo-PEA' is insufficiently substantiated. No contemporaneous arterial line waveform, echocardiographic confirmation of mechanical cardiac activity, or EtCO2 at the exact moment of"
C05,graduated_dissent,2,MAJOR-REVISION,False,Causal attribution of the peri-induction collapse to pulmonary hypertension-driven cardiogenic shock is stronger than the evidence supports. Alternative etiologies (anesthetic-induced vasodilation/myo
C05,graduated_dissent,3,MAJOR-REVISION,False,The rationale for chest compressions — stated as 'to facilitate diluted epinephrine circulating in the presence of severe MR' — is physiologically questionable and potentially misleading to clinicians
C05,graduated_dissent,4,MAJOR-REVISION,False,"Key preoperative right heart catheterization hemodynamic values (mPAP, PCWP, RAP, cardiac output/index, PVR) are omitted despite the paper's central reliance on pulmonary hypertension and elevated fil"
C05,graduated_dissent,5,MAJOR-REVISION,False,The claimed necessity and mortality/morbidity implications of immediate iatrogenic ASD closure are overstated for a single case. The shunt was characterized only qualitatively (0.5 cm on color Doppler
C05,graduated_dissent,6,MAJOR-REVISION,False,"The manuscript blurs the distinction between cardiac arrest (PEA) and critical low-output shock states, using ACLS-adjacent terminology (pseudo-PEA, chest compressions) alongside non-arrest interventi"
C05,graduated_dissent,7,MINOR,False,Internal inconsistency in imaging modality reporting: the manuscript states 'Transesophageal echocardiography (TTE)' conflating two different imaging modalities.
C05,graduated_dissent,8,MINOR,False,"Anaphylaxis is not definitively excluded (no serum tryptase obtained), yet the manuscript presents its exclusion with more confidence than warranted."
C05,graduated_dissent,9,MINOR,False,"Postoperative claim of 'normalized RV systolic function and pressures' at 30 days is made without reporting actual echocardiographic parameters, in a patient with multiple chronic cardiopulmonary como"
C05,graduated_dissent,10,MINOR,False,The discussion section extrapolates from a single case to broad management recommendations and outcome implications without adequately framing them as hypothesis-generating observations.
C10,graduated_dissent,1,MAJOR-REVISION,False,"Internal inconsistency in primary outcome counts: the abstract/text report 125 patients (10.6%) with elevated baseline ALT and 60 (5.1%) with elevated AST, while Table 1 reports 101 (8.5%) and 47 (4.0"
