k_i,TP_i,FP_i,FN_i,precision_i,recall_i,perfect_i,n_predictions,paper_id,condition,title,paper_category,verdict,n_annotations_text,n_annotations_total,rw_count
1,0,32,1,0.0,0.0,0,32,10.1016_j.jpcs.2024.112058,B1,Facile synthesis of SnSe‚ÄìMnTe nanocomposite as a promising electrode for supercapacitor applications,Materials Science,flagged,1,1,
1,0,17,1,0.0,0.0,0,17,10.1016_j.jpcs.2024.112058,B2,Facile synthesis of SnSe‚ÄìMnTe nanocomposite as a promising electrode for supercapacitor applications,Materials Science,flagged,1,1,2.0
1,0,12,1,0.0,0.0,0,12,10.1016_j.jpcs.2024.112058,B3,Facile synthesis of SnSe‚ÄìMnTe nanocomposite as a promising electrode for supercapacitor applications,Materials Science,flagged,1,1,1.0
1,0,16,1,0.0,0.0,0,16,10.1016_j.jpcs.2024.112058,GD,Facile synthesis of SnSe‚ÄìMnTe nanocomposite as a promising electrode for supercapacitor applications,Materials Science,flagged,1,1,2.0
1,1,25,0,0.038461538461538464,1.0,0,26,10.1016_j.molmet.2023.101841,B1,Farnesoid X receptor activation protects against renal fibrosis via modulation of β-catenin signaling,Medicine,not_flagged,1,2,
1,0,16,1,0.0,0.0,0,16,10.1016_j.molmet.2023.101841,B2,Farnesoid X receptor activation protects against renal fibrosis via modulation of β-catenin signaling,Medicine,flagged,1,2,0.0
1,0,14,1,0.0,0.0,0,14,10.1016_j.molmet.2023.101841,B3,Farnesoid X receptor activation protects against renal fibrosis via modulation of β-catenin signaling,Medicine,flagged,1,2,0.0
1,1,19,0,0.05,1.0,0,20,10.1016_j.molmet.2023.101841,GD,Farnesoid X receptor activation protects against renal fibrosis via modulation of β-catenin signaling,Medicine,flagged,1,2,0.0
1,0,34,1,0.0,0.0,0,34,10.1016_j.scenv.2024.100142,B1,Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,flagged,1,1,
1,0,22,1,0.0,0.0,0,22,10.1016_j.scenv.2024.100142,B2,Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,flagged,1,1,0.0
1,0,11,1,0.0,0.0,0,11,10.1016_j.scenv.2024.100142,B3,Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,flagged,1,1,1.0
1,0,23,1,0.0,0.0,0,23,10.1016_j.scenv.2024.100142,GD,Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,flagged,1,1,0.0
1,0,31,1,0.0,0.0,0,31,10.1038_s41598-024-56334-5,B1,The impact understanding of exosome therapy in COVID-19 and preparations for the future approaches in dealing with infectious diseases and inflammation,Multidisciplinary,flagged,1,1,
1,0,15,1,0.0,0.0,0,15,10.1038_s41598-024-56334-5,B2,The impact understanding of exosome therapy in COVID-19 and preparations for the future approaches in dealing with infectious diseases and inflammation,Multidisciplinary,flagged,1,1,2.0
1,0,15,1,0.0,0.0,0,15,10.1038_s41598-024-56334-5,B3,The impact understanding of exosome therapy in COVID-19 and preparations for the future approaches in dealing with infectious diseases and inflammation,Multidisciplinary,flagged,1,1,2.0
1,0,16,1,0.0,0.0,0,16,10.1038_s41598-024-56334-5,GD,The impact understanding of exosome therapy in COVID-19 and preparations for the future approaches in dealing with infectious diseases and inflammation,Multidisciplinary,flagged,1,1,2.0
1,0,43,1,0.0,0.0,0,43,10.1038_s41598-024-73921-8,B1,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,flagged,1,1,
1,0,21,1,0.0,0.0,0,21,10.1038_s41598-024-73921-8,B2,"Assessing the effect of therapeutic level of oxytetracycline dihydrate on pharmacokinetics and biosafety in Oncorhynchus mykiss (Walbaum, 1792)",Multidisciplinary,flagged,1,1,6.0
