k_i,TP_i,FP_i,FN_i,precision_i,recall_i,perfect_i,n_predictions,paper_id,condition,title,paper_category,verdict,n_annotations_text,n_annotations_total,rw_count
1,0,28,1,0.0,0.0,0,28,10.1016_j.jpcs.2024.112058,B1,Facile synthesis of SnSe–MnTe nanocomposite as a promising electrode for supercapacitor applications,Materials Science,flagged,1,1,
1,0,41,1,0.0,0.0,0,41,10.1016_j.scenv.2024.100142,B1,Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,flagged,1,1,
1,0,23,1,0.0,0.0,0,23,10.1016_j.scenv.2024.100142,B2,Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,flagged,1,1,1.0
1,0,15,1,0.0,0.0,0,15,10.1016_j.scenv.2024.100142,B3,Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,flagged,1,1,0.0
1,0,17,1,0.0,0.0,0,17,10.1016_j.scenv.2024.100142,GD,Extraction and characterization of biocompatible hydroxyapatite (Hap) from red big eye fish bone: Potential for biomedical applications and reducing biowastes,Environmental Science,flagged,1,1,0.0
1,0,32,1,0.0,0.0,0,32,10.1186_s12964-024-01868-4,B1,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,flagged,1,1,
1,0,15,1,0.0,0.0,0,15,10.1186_s12964-024-01868-4,B2,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,flagged,1,1,0.0
1,0,16,1,0.0,0.0,0,16,10.1186_s12964-024-01868-4,B3,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,flagged,1,1,3.0
1,0,13,1,0.0,0.0,0,13,10.1186_s12964-024-01868-4,GD,Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,flagged,1,1,1.0
1,0,37,1,0.0,0.0,0,37,10.5539_jsd.v17n6p137,B1,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,flagged,1,1,
1,0,25,1,0.0,0.0,0,25,10.5539_jsd.v17n6p137,B2,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,flagged,1,1,9.0
1,0,24,1,0.0,0.0,0,24,10.5539_jsd.v17n6p137,B3,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,flagged,1,1,10.0
1,0,18,1,0.0,0.0,0,18,10.5539_jsd.v17n6p137,GD,The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,flagged,1,1,5.0
1,0,28,1,0.0,0.0,0,28,2402.10307v2,B1,A New Radio to Overcome Critical Link Budgets,Computer Science,flagged,1,1,
1,0,18,1,0.0,0.0,0,18,2402.10307v2,B2,A New Radio to Overcome Critical Link Budgets,Computer Science,flagged,1,1,4.0
1,1,11,0,0.08333333333333333,1.0,0,12,2402.10307v2,B3,A New Radio to Overcome Critical Link Budgets,Computer Science,flagged,1,1,2.0
1,0,19,1,0.0,0.0,0,19,2402.10307v2,GD,A New Radio to Overcome Critical Link Budgets,Computer Science,flagged,1,1,1.0
1,0,26,1,0.0,0.0,0,26,2407.19323v3,B1,MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,flagged,1,1,
1,0,14,1,0.0,0.0,0,14,2407.19323v3,B2,MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,flagged,1,1,3.0
1,0,9,1,0.0,0.0,0,9,2407.19323v3,B3,MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,flagged,1,1,2.0
1,1,9,0,0.1,1.0,0,10,2407.19323v3,GD,MSP-MVS: Multi-granularity Segmentation Prior Guided Multi-View Stereo,Computer Science,flagged,1,1,1.0
