title,paper_category,error_category,error_location,error_severity,error_annotation,detectability
A missing theorem on dual spaces,Mathematics,Equation / proof,"Lemma 3,4",retract,"The issue is that an error in Proposition 2.3 undermines the validity of Lemmas 3 and 4, and Theorem 4.1 depends on results from Proposition 2.3; therefore, Lemmas 3 and 4 are only valid if the conclusions of Proposition 2.3 hold for the map q used in Theorem 4.1.",text
A New Radio to Overcome Critical Link Budgets,Computer Science,Equation / proof,Unknown,retract,"The error is that the beamforming gain for N antennas is incorrectly calculated as N, when it should actually be N^2, since coherent beamforming results in the received power increasing by the square of the number of antennas.",text
On the triviality of the unramified Iwasawa modules of the maximal multiple $\mathbb{Z}_p$-extensions,Mathematics,Equation / proof,Section 4.2.3,errata,"There is a mathematical error in Section 4.2.3, where either an equation is misstated, a step in a proof is incorrect, or an assumption is improperly applied, leading to an invalid or inaccurate result in the derivation.",text
"A Simple, Nearly-Optimal Algorithm for Differentially Private All-Pairs Shortest Distances",Computer Science,Equation / proof,"Sec 3, Sec4",retract,"The error is the incorrect assumption in Sections 3 and 4 that the topology of the shortest path trees is public, which may not be true; additionally, in Section 3, Lemma 2.4 is applied inappropriately under this false assumption.",text
Application of carboxymethylcellulose in combination with essential oils nano-emulsions edible coating for the preservation of kiwifruit,Biology,Figure duplication,Fig 3,errata,"The error is that some images of kiwi fruits in Fig 3 have been duplicated or manipulated (such as being mirror-flipped or stretched) across different groups or time points, making them appear unexpectedly similar when they should represent distinct samples.",figure
The Scientific Case Against Net Zero: Falsifying the Greenhouse Gas Hypothesis,Environmental Science,Equation / proof,Section. 3.1.2,errata,"The author used the base-10 logarithm (log10) instead of the natural logarithm (ln, neperian logarithm) in the IPCC radiative forcing equation, resulting in incorrect temperature change calculations.",text
"Synthesis, Structural Investigations, and Dielectric Properties of Irradiated Flexible Polymeric Composite Films",Materials Science,Figure duplication,"Fig. 5B,5C",errata,"Figures 5B and 5C present images of what are claimed to be different samples, but both images actually show the same area of the sample, with Figure 5C being a horizontally stretched version of Figure 5B, resulting in inconsistent scale bars and data misrepresentation.",figure
Glycerol-silica/chitosan conjugated self-assembled nano-flower framework for Herstulla thompsoni delivery with effectiveness in natural settings: Optimization and pilot scale production,Biology,Reagent identity,"Title, Introduction",retract,"The name of the fungus ""Hirsutella thompsonii"" is misspelled in the title and introduction, which is a critical error because scientific names must be accurate for proper identification and credibility.",text
Efficient Fault-Tolerant Single Qubit Gate Approximation And Universal Quantum Computation Without Using The Solovay-Kitaev Theorem,Physics,Equation / proof,Equation 6,retract,"The error is that Equation 6, derived using real arithmetic, is incorrectly applied to a context that uses modulo 2 arithmetic, making the result incompatible with the actual operations on the state ket.",text
Innovative fabrication of highly efficient CeO2 ceramic nanomaterials for enhanced photocatalytic degradation of toxic contaminants under sunlight,Materials Science,Data inconsistency,Fig. 6,errata,"The error is that the XRD pattern in Fig. 6 shows an unusual double trace in the highlighted section, which was introduced during digital editing—specifically, due to inappropriate manipulation like ""painting"" and using the Magic Eraser tool, rather than reflecting true experimental data.",text
Illuminating the dark kinome: utilizing multiplex peptide activity arrays to functionally annotate understudied kinases,Biology,Reagent identity,Overall,errata,"The error is that the recombinant protein fragments used for at least three kinases do not include their respective kinase domains, meaning the reagents do not have intrinsic kinase activity and the experimental results do not reflect actual kinase function for those proteins.",text
"A stretchable, electroconductive tissue adhesive for the treatment of neural injury",Engineering,Figure duplication,Fig 5,errata,"The error is that images representing different experimental conditions and time points in Figure 5 were duplicated or swapped during figure assembly, resulting in panels that inaccurately display the same or overlapping images for distinct groups.",figure
Photocatalytic removal of textile wastewater-originated methylene blue and malachite green dyes using spent black tea extract-coated silver nanoparticles,Multidisciplinary,Data inconsistency,Fig. 4,errata,"The error in Fig. 4 is that the UV-Vis spectrum for the ""chemically synthesized Ag nanoparticles"" displays an artifact—a sharp, anomalous peak at ~260 nm—due to unfiltered junk data not being removed before plotting, and the horizontal axis label is also misspelled.",text
"Unveiling the antiviral inhibitory activity of ebselen and ebsulfur derivatives on SARS-CoV-2 using machine learning-based QSAR, LB-PaCS-MD, and experimental assay",Multidisciplinary,Equation / proof,Eq. 1,errata,"The error is that the equation for pIC50 was incorrectly written as just 1/IC50, when it should be pIC50 = log(1/IC50 (M)), which is the standard way to calculate pIC50.",text
Every Polish group has a non-trivial topological group automorphism,Mathematics,Equation / proof,Theorem 1.1,retract,"The error is that extending a non-trivial automorphism of L by fixing elements of a maximal independent subset Y of U can inadvertently redefine the automorphism on elements of L that are generated by Y, making the extension invalid.",text
Facile synthesis of SnSe‚ÄìMnTe nanocomposite as a promising electrode for supercapacitor applications,Materials Science,Data Inconsistency (figure-text),Fig 2d,errata,"The error is that the EDX spectrum in Figure 2d was incorrectly labeled, showing inconsistencies such as a flat background and missing expected iron peaks, which led to incorrect assignment of elements to peaks.",partial
Unveiling the biological effects of radio-frequency and extremely-low frequency electromagnetic fields on the central nervous system performance,Medicine,Reagent identity,Overall,errata,"The error is that the manuscript incorrectly refers to ""C57BL/6 rats,"" but C57BL/6 is a strain of mice, not rats; thus, there is a misidentification of the animal model used.",text
On the uniqueness of the strictly convex quadrilateral central configuration with a fixed angle,Physics,Equation / proof,Proposition 2,retract,"The error in Proposition 2 and Lemma 1 is that their equations or proof steps are incorrect, undermining the validity of subsequent results and the main conclusion of the paper.",text
On the uniqueness of the strictly convex quadrilateral central configuration with a fixed angle,Physics,Equation / proof,Lemma 1,retract,"Lemma 1 contains incorrect equations or logical steps, undermining the validity of the proof and making the results that rely on it, including Proposition 2 and the main theorem, unreliable.",text
Nevanlinna Theory on Geodesic Balls of Complete K√§hler Manifolds,Mathematics,Equation / proof,Introduction,retract,"The error is that the Green function $G_R(o,x)$ for the geodesic ball $B(R)$ was incorrectly stated to satisfy the Dirichlet boundary condition on the geodesic sphere $\partial B(R)$, when in fact it does not necessarily vanish on the boundary as required by the Dirichlet condition.",text
