paper_id,category,field,detectability,retraction_cause,keyword_groups
R01,retracted,Pediatrics,A,"Data coding errors; primary outcome underestimated >3x","HR+0.00+hazard | missing data+asymptomatic | age+range+8+13 | denominator+271+0.4"
R02,retracted,Economics,A,"Flawed input data; results insignificant when corrected","extrapolat+out-of-sample+beyond | spatial+autocorrelation+correlation | data+quality+GDP+implausible"
R03,retracted,Psychology,A,"Post-hoc analysis presented as preregistered","preregistr+post-hoc+post hoc | selection+outcome+knowledge+data | exploratory+confirmatory"
R04,retracted,Nutrition,A,"Unreplicable analyses; implausible statistical values","t-test+repeated measure+ANOVA+longitudinal | implausible+height+SD+standard deviation | replicat+reproduc"
R05,retracted,Economics,A,"Randomization failure; group size mismatch","randomiz+allocation+ratio+1:2+group size | 741+991+1:1.3+deviat"
R10,retracted,Clinical Medicine,B,"Selection bias; measurement timing gap","selection bias+restrict+prior+vitamin D test | 14+730+day+measurement+gap+delay"
R11,retracted,Organizational Psychology,A,"Circular mediation; cross-sectional causal claims","mediation+circular+causal+related construct | cortisol+emotional exhaustion+depersonaliz | cross-sectional+causal+design"
R19,retracted,Epidemiology,B,"Non-reproducible analyses; time-zero misalignment","reproduc+replicat+not reproduc | unclear+analysis+comprehend+method | time-zero+misalign+immortal | hazard ratio+continuous+weight"
R24,retracted,Surgery,A,"Incorrect outcome event count; non-independence","outcome event+incorrect+number | denominator+population+error | non-independence+procedures+patients"
R25,retracted,Pharmacoepidemiology,B,"ICD code logic error creating false dementia cases","ICD+code+OR+AND+logic | dementia+false+case+misclassif | Parkinson+secondary+dementia"
C01,matched_control,Pediatrics,N/A,N/A,N/A
C02,matched_control,Economics,N/A,N/A,N/A
C03,matched_control,Psychology,N/A,N/A,N/A
C04,matched_control,Nutrition,N/A,N/A,N/A
C05,matched_control,Economics,N/A,N/A,N/A
C10,matched_control,Clinical Medicine,N/A,N/A,N/A
C11,matched_control,Organizational Psychology,N/A,N/A,N/A
C19,matched_control,Epidemiology,N/A,N/A,N/A
C24,matched_control,Surgery,N/A,N/A,N/A
C25,matched_control,Pharmacoepidemiology,N/A,N/A,N/A
HN02,hard_negative,Various,N/A,N/A,N/A
HN03,hard_negative,Various,N/A,N/A,N/A
HN04,hard_negative,Various,N/A,N/A,N/A
HN05,hard_negative,Various,N/A,N/A,N/A
HN06,hard_negative,Various,N/A,N/A,N/A
HN07,hard_negative,Various,N/A,N/A,N/A
HN08,hard_negative,Various,N/A,N/A,N/A
HN09,hard_negative,Various,N/A,N/A,N/A
HN10,hard_negative,Various,N/A,N/A,N/A
W01,wildcard,Astrophysics,N/A,N/A,N/A
W02,wildcard,Protein Folding,N/A,N/A,N/A
W03,wildcard,Quantum Computing,N/A,N/A,N/A
W04,wildcard,Deep Learning,N/A,N/A,N/A
W05,wildcard,Oceanography,N/A,N/A,N/A
V01,vixra,Physics (GUT),N/A,N/A,N/A
V02,vixra,Physics (GUT),N/A,N/A,N/A
V03,vixra,Physics (GUT),N/A,N/A,N/A
V04,vixra,Physics (GUT),N/A,N/A,N/A
V05,vixra,Physics (GUT),N/A,N/A,N/A
